ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,soc_sec_id,given_name,surname
2035,Male,64,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Other-service,<=50K,3864352,daniel,grainger
2036,Male,33,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K,5168589,thomas,brooker
2037,Female,23,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K,5667813,brodie,green
2038,Male,45,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K,8204200,lucy,rees
2039,Female,34,Black,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K,7989856,reganne,sanakidis
2040,Female,53,White,Divorced,HS-grad,Mexico,Private,Sales,<=50K,3946937,nicholas,bridgland
2041,Male,22,White,Never-married,10th,United-States,Private,Craft-repair,<=50K,8686683,sebastian,campbell
2042,Female,57,White,Separated,HS-grad,United-States,State-gov,Other-service,<=50K,1606779,lachlan,pascoe
2043,Male,23,Black,Never-married,7th-8th,United-States,Private,Craft-repair,<=50K,4887522,lara,musolino
2044,Male,31,White,Never-married,11th,United-States,Private,Transport-moving,<=50K,7697624,daniella,millar
2045,Male,23,White,Never-married,Bachelors,United-States,State-gov,Tech-support,<=50K,2413526,meg,sedunary
2046,Female,30,White,Separated,HS-grad,United-States,Private,Adm-clerical,<=50K,9559799,jessica,webb
2047,Female,32,White,Separated,Bachelors,United-States,Local-gov,Prof-specialty,>50K,1186199,caitlin,gatward
2048,Female,42,Black,Married-civ-spouse,Assoc-acdm,United-States,Private,Adm-clerical,>50K,4096438,joshua,rigley
2049,Male,51,White,Married-civ-spouse,7th-8th,Cuba,Private,Transport-moving,<=50K,8427851,ryleh,burford
2050,Male,59,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Sales,>50K,6633125,shantal,psorakis
2051,Female,36,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K,6759267,jayden,pendle
2052,Male,45,Black,Never-married,HS-grad,United-States,Private,Sales,<=50K,3166758,caleb,nosurname
2053,Male,35,White,Married-civ-spouse,Assoc-voc,Germany,Private,Sales,>50K,4859425,karla,talapaneni
2054,Male,33,White,Married-civ-spouse,7th-8th,United-States,Private,Machine-op-inspct,<=50K,9837624,brianna,blake
2055,Female,43,White,Divorced,Assoc-voc,United-States,Private,Prof-specialty,<=50K,3964863,mikayla,nguyen
2056,Female,60,White,Married-civ-spouse,HS-grad,United-States,Private,Tech-support,>50K,3651118,aiden,son
2057,Male,37,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,>50K,7777606,chloe,kammermann
2058,Female,35,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K,3509633,robert,white
2059,Male,36,White,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,<=50K,9994674,tegan,white
2060,Male,38,White,Married-civ-spouse,Prof-school,United-States,Federal-gov,Prof-specialty,>50K,9222441,hamish,teague
2061,Male,54,White,Married-civ-spouse,7th-8th,United-States,Private,Craft-repair,<=50K,4522939,kylie,browne
2062,Male,51,White,Married-civ-spouse,Assoc-voc,United-States,Private,Handlers-cleaners,>50K,6238993,dillon,nettleford
2063,Male,45,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Craft-repair,>50K,1317399,caitlin,white
2064,Female,63,White,Divorced,Some-college,United-States,Federal-gov,Exec-managerial,<=50K,8809552,ella,campain
2065,Male,51,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K,9976586,kenneth,priest
2066,Male,58,White,Divorced,Masters,United-States,Self-emp-not-inc,Sales,<=50K,8123185,jesse,white
2067,Female,64,White,Divorced,HS-grad,United-States,Local-gov,Adm-clerical,<=50K,8066192,harley,kreymborg
2068,Male,20,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K,6070746,jack,berry
2069,Male,44,Asian-Pac-Islander,Married-civ-spouse,Bachelors,Philippines,Federal-gov,Adm-clerical,>50K,2405882,lachlan-john,spears
2070,Female,39,White,Divorced,Bachelors,United-States,Private,Exec-managerial,<=50K,1450223,max,kirby-fahey
2071,Female,45,White,Never-married,Some-college,United-States,State-gov,Adm-clerical,<=50K,9890402,alexander,munyarryun
2072,Male,44,White,Married-civ-spouse,Doctorate,United-States,Private,Adm-clerical,>50K,8798025,hannah,bansemer
2073,Female,22,White,Never-married,Some-college,United-States,Federal-gov,Exec-managerial,<=50K,6635323,holly,glennon
2074,Male,63,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Exec-managerial,>50K,1423820,makayla,thoonen
2075,Male,26,Black,Separated,Assoc-voc,United-States,Private,Other-service,<=50K,2472793,benjamin,campbell
2076,Male,42,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Farming-fishing,<=50K,9352851,ruby,gilcrist
2077,Female,20,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,7466921,madison,meaney
2078,Male,29,White,Married-civ-spouse,Masters,United-States,Private,Sales,>50K,6220830,nogivenname,dunnicliff
2079,Male,38,Asian-Pac-Islander,Never-married,Bachelors,Vietnam,Local-gov,Exec-managerial,<=50K,7083021,rachel,deakin
2080,Male,25,White,Never-married,HS-grad,United-States,Private,Transport-moving,<=50K,7582894,james,lupoi
2081,Male,27,White,Married-civ-spouse,Bachelors,United-States,Private,Craft-repair,<=50K,1945725,joel,nosurname
2082,Female,46,White,Divorced,Assoc-voc,United-States,Private,Adm-clerical,<=50K,2192983,darcy,bullock
2083,Male,31,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K,4245106,jake,campbell
2084,Male,24,White,Never-married,Assoc-voc,United-States,Private,Exec-managerial,<=50K,4768273,zachary,nakahara
2085,Male,43,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K,8916268,harrison,burman
2086,Male,23,White,Never-married,12th,Mexico,Private,Machine-op-inspct,<=50K,1311728,harry,waller
2087,Female,32,Black,Never-married,HS-grad,United-States,Local-gov,Transport-moving,<=50K,7613246,cassandra,cappelluti
2088,Male,44,White,Married-civ-spouse,HS-grad,Poland,Private,Craft-repair,<=50K,9606352,rohan,ruskin
2089,Male,40,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Sales,<=50K,6708902,joshua,bralic
2090,Male,38,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K,9298526,gillian,lodge
2091,Male,23,White,Never-married,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K,7091861,zachary,white
2092,Female,19,White,Never-married,Some-college,United-States,Private,Sales,<=50K,4380571,kyle,block
2093,Male,41,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K,1163656,cooper,ryan
2094,Male,48,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,8778791,jessica,vick
2095,Male,23,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,<=50K,6947860,tiana,webb
2096,Female,47,White,Widowed,Assoc-acdm,United-States,Private,Other-service,<=50K,1643013,michael,maclennan
2097,Male,42,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,8730501,casey,meyler
2098,Female,17,White,Never-married,10th,United-States,Private,Sales,<=50K,3201927,benjamin,morrison
2099,Female,29,White,Never-married,Prof-school,United-States,Local-gov,Prof-specialty,<=50K,8073994,lochlan,shepherd
2100,Female,21,White,Never-married,Some-college,United-States,State-gov,Prof-specialty,<=50K,5213022,yasmin,reid
2101,Male,31,White,Married-civ-spouse,HS-grad,Mexico,Private,Other-service,>50K,7680717,pascale,quast
2102,Female,27,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K,3652623,joshua,reid
2103,Male,29,White,Never-married,Doctorate,Canada,Private,Prof-specialty,<=50K,2441128,amy,shepherd
2104,Female,23,White,Never-married,Bachelors,United-States,Private,Sales,<=50K,1197508,lynton,rudd
2105,Male,41,Asian-Pac-Islander,Married-civ-spouse,Masters,Taiwan,Private,Prof-specialty,>50K,8731806,gemma,brain
2106,Male,46,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,>50K,2059387,joshua,white
2107,Female,34,Black,Married-civ-spouse,Some-college,Haiti,Private,Protective-serv,<=50K,4300643,katie,jolly
2108,Male,42,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K,8646516,teagan,richmond
2109,Female,18,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K,2105506,nikita,helliar
2110,Male,46,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K,3727793,callum,erett
2111,Male,52,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K,2620091,jessica,zimmermann
2112,Female,56,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K,9507232,georgia,carmody
2113,Male,21,White,Never-married,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K,7681478,jenna,shew
2114,Male,22,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K,6240008,emiily,green
2115,Female,31,White,Divorced,Bachelors,United-States,Private,Adm-clerical,<=50K,4124424,jack,ryan
2116,Male,41,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Other-service,<=50K,4524218,nicholas,mcneill
2117,Female,25,White,Separated,Some-college,United-States,Private,Adm-clerical,<=50K,4854960,jack,dimonte
2118,Male,43,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,<=50K,6393328,indiana,eves
2119,Female,45,White,Separated,HS-grad,United-States,Private,Sales,<=50K,1841588,kelsey,dearing
2120,Male,26,White,Divorced,Some-college,United-States,Private,Tech-support,<=50K,7093245,rachel,coffey
2121,Male,90,Asian-Pac-Islander,Never-married,Some-college,United-States,Private,Other-service,<=50K,2307700,tabitha,walch
2122,Male,45,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K,1261908,brianna,feast
2123,Female,30,White,Married-civ-spouse,Bachelors,United-States,Private,Other-service,>50K,8932147,emerson,whiteway
2124,Male,42,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K,3352388,stephanie,george
2125,Male,20,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K,3898443,renee,havrda
2126,Male,53,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K,4742050,samantha,spong
2127,Female,64,White,Widowed,HS-grad,United-States,State-gov,Adm-clerical,<=50K,9810666,connor,vincent
2128,Male,56,White,Widowed,7th-8th,United-States,Private,Transport-moving,<=50K,6458398,emiily,hewson
2129,Male,42,White,Married-spouse-absent,Some-college,United-States,Private,Prof-specialty,>50K,7452671,jake,warnock
2130,Female,26,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K,1160317,matthew,egan
2131,Female,31,Amer-Indian-Eskimo,Never-married,Assoc-acdm,United-States,Local-gov,Adm-clerical,<=50K,4941592,sam,rogan
2132,Female,40,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,<=50K,2319505,nogivenname,falting
2133,Male,58,White,Widowed,Some-college,United-States,Private,Craft-repair,<=50K,5012250,harley,webb
2134,Male,41,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K,1433160,arabella,reid
2135,Male,58,White,Never-married,HS-grad,United-States,Self-emp-inc,Sales,<=50K,8202628,erin,wehr
2136,Male,62,White,Married-civ-spouse,Masters,United-States,State-gov,Prof-specialty,>50K,3363844,oscar,white
2137,Male,65,White,Married-civ-spouse,Bachelors,United-States,Self-emp-inc,Sales,>50K,9513852,charlotte,feeney
2138,Male,40,White,Never-married,Some-college,United-States,Private,Craft-repair,<=50K,7529668,jacinta,webb
2139,Male,45,White,Married-civ-spouse,Some-college,United-States,Local-gov,Protective-serv,>50K,2181571,paige,sherriff
2140,Male,22,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K,9033952,matthew,browne
2141,Male,63,White,Married-civ-spouse,Masters,United-States,Federal-gov,Exec-managerial,>50K,8213647,lara,mccowat
2142,Male,39,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K,3204273,mya,ongley
2143,Male,37,White,Widowed,Some-college,United-States,Private,Craft-repair,<=50K,4459447,benjamin,campbell
2144,Male,56,White,Married-civ-spouse,11th,United-States,Private,Farming-fishing,<=50K,6436995,henry,hobson
2145,Male,32,White,Divorced,Some-college,United-States,Private,Sales,<=50K,8947188,jasmine,stancombe
2146,Female,53,Asian-Pac-Islander,Married-civ-spouse,Some-college,Philippines,Federal-gov,Exec-managerial,>50K,8381516,charlotte,grierson
2147,Male,32,White,Divorced,Assoc-voc,United-States,Private,Prof-specialty,<=50K,8581279,jack,waller
2148,Male,23,White,Married-civ-spouse,11th,United-States,Self-emp-not-inc,Transport-moving,>50K,6038986,kobe,miliano
2149,Male,35,White,Separated,11th,United-States,Private,Transport-moving,<=50K,8861700,campbell,campbell
2150,Male,51,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K,2799251,anna,reid
2151,Female,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K,2408163,emiily,reid
2152,Male,41,White,Married-spouse-absent,11th,Guatemala,Private,Machine-op-inspct,<=50K,7610085,jack,harrington
2153,Male,22,White,Never-married,10th,United-States,Private,Transport-moving,<=50K,6179719,sarah,crosswell
2154,Female,23,White,Never-married,HS-grad,United-States,Private,Tech-support,<=50K,3609154,charlotte,ryan
2155,Male,36,Asian-Pac-Islander,Married-civ-spouse,Masters,Taiwan,Private,Exec-managerial,>50K,1356716,amber,canavan
2156,Male,45,White,Married-civ-spouse,Assoc-voc,Canada,Private,Craft-repair,<=50K,2264092,prudence,monaco
2157,Male,23,White,Never-married,HS-grad,Mexico,Self-emp-not-inc,Farming-fishing,<=50K,6058396,emiily,tidey
2158,Female,21,Black,Never-married,11th,United-States,Private,Other-service,<=50K,8037688,erin,gascoigne
2159,Male,44,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K,6703972,michael,scarce
2160,Male,29,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K,7882159,william,tomney
2161,Male,36,White,Married-civ-spouse,Assoc-voc,United-States,Self-emp-not-inc,Tech-support,<=50K,4492531,hannah,bishop
2162,Male,18,White,Never-married,9th,United-States,Private,Handlers-cleaners,<=50K,2726971,hayley,benger
2163,Male,62,White,Married-civ-spouse,12th,United-States,Self-emp-not-inc,Craft-repair,>50K,7634940,jessica,singleton
2164,Male,25,Black,Never-married,Some-college,United-States,Federal-gov,Exec-managerial,<=50K,3749440,joshua,toseland
2165,Female,34,White,Divorced,Assoc-acdm,United-States,Private,Exec-managerial,<=50K,3751485,timothy,jolly
2166,Female,31,White,Never-married,Bachelors,United-States,Private,Exec-managerial,>50K,2452041,sebastian,garcia
2167,Male,37,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K,7502749,sophie,friswell
2168,Male,33,White,Married-civ-spouse,Bachelors,England,Private,Farming-fishing,<=50K,9846985,melissa,dent
2169,Male,28,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Sales,<=50K,3489916,courtney,benger
2170,Male,47,White,Married-civ-spouse,HS-grad,United-States,Private,Other-service,>50K,9876911,ayla,colefax
2171,Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K,2062273,lily,reid
2172,Male,26,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K,8708647,zachary,white
2173,Male,36,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K,8806692,alissa,stanley
2174,Male,28,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K,9846815,michael,darch
2175,Male,22,Black,Never-married,HS-grad,United-States,Private,Transport-moving,<=50K,1508216,owen,hingston
2176,Female,47,Black,Separated,Some-college,United-States,Private,Other-service,<=50K,5991164,jackson,edgecombe
2177,Male,33,White,Never-married,Assoc-voc,United-States,Private,Adm-clerical,<=50K,8583204,calvin,truman
2178,Female,34,White,Separated,Masters,United-States,Self-emp-inc,Prof-specialty,>50K,6204857,ellen,harrington
2179,Male,25,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K,1129560,caitlin,everett
2180,Male,37,White,Married-civ-spouse,9th,Mexico,Private,Handlers-cleaners,<=50K,4902237,kierra,burford
2181,Male,36,White,Married-civ-spouse,HS-grad,United-States,State-gov,Protective-serv,<=50K,2519794,gabrielle,garcia
2182,Male,57,White,Married-civ-spouse,Some-college,Poland,Private,Craft-repair,<=50K,4602097,jade,bartel
2183,Male,55,White,Never-married,Doctorate,England,Private,Prof-specialty,<=50K,9179475,wil,araya
2184,Female,20,Black,Divorced,HS-grad,United-States,Private,Sales,<=50K,1257356,caitlin,leslie
2185,Female,43,Black,Never-married,HS-grad,United-States,Private,Sales,<=50K,3983966,sophie,wiseman
2186,Male,54,White,Married-civ-spouse,HS-grad,England,Private,Machine-op-inspct,>50K,5428639,ashton,boyes
2187,Female,25,White,Separated,Some-college,United-States,Private,Adm-clerical,<=50K,8460647,julia,clarke
2188,Male,42,White,Divorced,Some-college,United-States,Private,Exec-managerial,<=50K,3828291,jade,clutterbuck
2189,Male,17,White,Never-married,11th,United-States,Private,Craft-repair,<=50K,7213703,kirra,white
2190,Female,63,Amer-Indian-Eskimo,Married-spouse-absent,7th-8th,United-States,Private,Other-service,<=50K,2369541,nogivenname,ryan
2191,Female,19,White,Never-married,Some-college,United-States,Private,Exec-managerial,<=50K,7123737,henry,sach
2192,Male,56,White,Married-civ-spouse,Bachelors,United-States,Self-emp-inc,Sales,>50K,3336732,liam,dabinet
2193,Male,33,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Sales,>50K,9351309,tegan,rosendale
2194,Male,37,White,Married-civ-spouse,Bachelors,United-States,Private,Farming-fishing,<=50K,8013479,india,green
2195,Male,27,White,Married-civ-spouse,7th-8th,United-States,Private,Transport-moving,<=50K,2578857,chloe,ryan
2196,Male,36,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Adm-clerical,<=50K,5291032,olivia,noack
2197,Male,30,White,Married-civ-spouse,HS-grad,Canada,Self-emp-inc,Exec-managerial,>50K,3676871,lachlan,gaskin
2198,Male,22,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K,5070016,benedict,hursey
2199,Male,35,White,Married-civ-spouse,Some-college,United-States,Private,Handlers-cleaners,<=50K,1128736,liam,coenen
2200,Male,20,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K,8250432,lily,matthews
2201,Female,18,White,Never-married,Some-college,United-States,Private,Sales,<=50K,2103478,briony,dudley
2202,Male,25,White,Never-married,12th,United-States,Private,Machine-op-inspct,<=50K,7152705,jasper,bysord
2203,Female,53,White,Never-married,Masters,United-States,Private,Prof-specialty,>50K,6149166,taylah,timbrell
2204,Female,19,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,4217543,keira,zawistowski
2205,Male,34,White,Divorced,HS-grad,United-States,Private,Machine-op-inspct,<=50K,6244854,henry,ryan
2206,Female,32,Black,Never-married,Some-college,United-States,State-gov,Adm-clerical,<=50K,1000754,jack,morrison
2207,Male,20,Amer-Indian-Eskimo,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K,2135501,jared,white
2208,Male,70,White,Married-civ-spouse,7th-8th,United-States,Private,Other-service,<=50K,2691340,brody,nguyen
2209,Male,57,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K,9721662,zachariah,thorpe
2210,Male,54,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K,9665345,hayden,kluske
2211,Male,34,White,Married-civ-spouse,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K,8794181,isabella,ctercteko
2212,Male,48,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K,7964228,amber,braunack
2213,Female,42,White,Married-civ-spouse,11th,United-States,Private,Other-service,<=50K,3577473,flynn,smallacombe
2214,Male,45,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K,8652033,tommi-lee,pagoda
2215,Male,27,White,Never-married,Some-college,United-States,Private,Other-service,<=50K,6966609,jairus,scamoni
2216,Male,51,White,Married-civ-spouse,10th,Mexico,Private,Other-service,<=50K,3767916,matthew,green
2217,Female,36,White,Divorced,Some-college,United-States,Local-gov,Adm-clerical,<=50K,8251151,cooper,clarke
2218,Male,33,Asian-Pac-Islander,Never-married,Some-college,Philippines,Private,Exec-managerial,<=50K,7567935,anthony,browne
2219,Male,50,White,Never-married,Some-college,United-States,Private,Farming-fishing,<=50K,2780577,dylan,needham
2220,Male,44,White,Divorced,Bachelors,United-States,Private,Exec-managerial,>50K,3208087,casey,chittleborough
2221,Male,39,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K,1739657,matisse,kromwyk
2222,Male,55,White,Married-civ-spouse,9th,United-States,Self-emp-not-inc,Farming-fishing,<=50K,1547145,ellie,coleman
2223,Female,24,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K,3527872,kalli,detzner
2224,Male,35,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,4752945,madison,arganese
2225,Male,32,White,Married-civ-spouse,12th,United-States,Self-emp-not-inc,Craft-repair,<=50K,6112690,paige,di cesare
2226,Female,68,White,Widowed,HS-grad,United-States,Private,Adm-clerical,<=50K,2345085,annalise,clarke
2227,Male,29,White,Married-civ-spouse,11th,United-States,Private,Transport-moving,<=50K,8424221,montana,webb
2228,Male,24,White,Never-married,Bachelors,United-States,Self-emp-not-inc,Sales,<=50K,5841667,shaun,cristiani
2229,Male,61,White,Married-civ-spouse,9th,United-States,Private,Machine-op-inspct,<=50K,7416603,kyle,lowe
2230,Male,34,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K,4399358,harriet,jean
2231,Male,55,White,Married-civ-spouse,Prof-school,Greece,Self-emp-inc,Prof-specialty,>50K,2382912,cambell,coleman
2232,Female,41,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,5594467,beau,zeitzen-van der burg
2233,Male,36,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K,3787671,jye,dibben
2234,Male,60,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K,9702458,ashleigh,de bono
2235,Male,61,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,>50K,3708941,kai,mason
2236,Male,35,Asian-Pac-Islander,Married-civ-spouse,Prof-school,China,Private,Sales,<=50K,9203828,luke,mccarthy
2237,Male,42,White,Married-civ-spouse,Bachelors,United-States,State-gov,Exec-managerial,>50K,4025303,haylee,metherell
2238,Male,26,White,Never-married,Bachelors,United-States,Private,Tech-support,<=50K,7533159,bella,clarke
2239,Female,44,Black,Never-married,Some-college,United-States,Local-gov,Other-service,<=50K,3007951,joshua,berry
2240,Male,31,White,Never-married,Masters,United-States,State-gov,Adm-clerical,<=50K,9573457,kaleb,hobson
2241,Male,39,Black,Never-married,HS-grad,United-States,State-gov,Other-service,<=50K,7791289,james,hyland
2242,Female,20,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K,9919791,kirra,nosurname
2243,Male,32,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Craft-repair,<=50K,8563603,talyah,hewson
2244,Male,32,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,<=50K,5292435,rachel,kerslake
2245,Male,61,Black,Married-civ-spouse,9th,Trinadad&Tobago,Private,Machine-op-inspct,<=50K,4429520,heather,campbell
2246,Female,54,White,Divorced,Some-college,United-States,Local-gov,Adm-clerical,<=50K,3971456,joel,lace
2247,Male,23,White,Never-married,Assoc-acdm,United-States,Private,Craft-repair,<=50K,4360928,isaiah,drysdale
2248,Male,19,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,3501500,riley,breheny
