ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
4516,Female,19,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,noah,hean,14,miller street,noaddresstwo,lake tyers,3150,vic,7586765
4517,Male,32,White,Divorced,Some-college,United-States,Private,Craft-repair,>50K,ryak,pinkerton,0,noaddressone,noaddresstwo,baffle creek,2550,qld,1652517
4518,Female,31,Black,Separated,Assoc-acdm,United-States,State-gov,Other-service,<=50K,nogivenname,mcmaster,388,gorrie close,noaddresstwo,blaxland,4575,qld,1832959
4519,Male,25,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K,kasey,wallwork,7,taylor street,railway reserve,dalby,4153,sa,7523536
4520,Male,47,Black,Married-civ-spouse,HS-grad,United-States,Federal-gov,Adm-clerical,>50K,edward,whelan,26,beetaloo street,noaddresstwo,middle park,2114,sa,7239782
4521,Female,46,White,Widowed,11th,United-States,Federal-gov,Adm-clerical,<=50K,isabelle,schmidt,160,must circuit,tullamore heights estate,mount evelyn,2905,tas,4370419
4522,Male,18,White,Never-married,12th,United-States,Private,Adm-clerical,<=50K,laklhnb,richards,1541,mugga eay,hse 187,hawthorn,4868,nsb,2272754
4523,Female,31,White,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,<=50K,jayden,phillixs,48,heagney crescent,noaddresstwo,coromandeil galley,2446,nzw,8485606
4524,Female,28,White,Married-civ-spouse,HS-grad,United-States,State-gov,Adm-clerical,<=50K,toir,willwms,0,caffyn place,noaddresstwo,woodmlle,2067,vic,7977039
4525,Male,38,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K,abbey,waters,27,courtice close,mountain view,gordonvale,6059,wa,7649463
4526,Male,33,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,>50K,imogen,priest,54,jasper close,jenolan farm,st kilda,2840,nsw,4265953
4527,Male,41,White,Married-civ-spouse,Assoc-voc,United-States,Private,Exec-managerial,>50K,angus,deut,14,gadali crescent,noaddresstwo,preston,3047,qld,2246056
4528,Male,46,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K,jacob,waterhouse,53,noongale court,kalimna village,fitzroy,0830,nsw,5909393
4529,Male,38,White,Married-civ-spouse,Some-college,United-States,Local-gov,Prof-specialty,<=50K,jarryd,hardie,140,girdlestone circuit,level one,buderim,6022,nsw,9064333
4530,Male,24,White,Never-married,Bachelors,United-States,Private,Sales,<=50K,oliver,tyley,85,shakespeare crescent,heathglen village,gladstone,3012,tas,4154667
4531,Male,49,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K,desik,nosurname,1397,hodgson frsecent,noaddresstwo,salamander bay,6104,nsw,9878622
4532,Female,60,Amer-Indian-Eskimo,Divorced,Some-college,United-States,Federal-gov,Prof-specialty,<=50K,bianca,kerlly,10,namadgicircuit,noaddresstwo,cabamatta,6026,qld,7012152
4533,Male,44,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K,noah,kuipers,0,antill street,noaddresstwo,springvale south,3134,nsw,3959943
4534,Male,63,White,Married-civ-spouse,Assoc-voc,United-States,Self-emp-inc,Exec-managerial,>50K,yasmin,jones,37,macnama rsaoplace,noaddresstwo,stanthorpe,5082,nsw,3422189
4535,Male,40,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,>50K,alexandra,griffin,64,freda gibson circuit,dalveen cooks,glen forrest,3796,nsw,6698700
4536,Male,45,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,>50K,jacob,mawby,67,jagara street,noaddresstwo,stepney,3956,qld,4239151
4537,Male,49,White,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,>50K,dvaid,cocok,28,hicksstreet,noaddresstwo,mulgowie,2280,wa,8717349
4538,Female,36,White,Divorced,HS-grad,United-States,Private,Sales,<=50K,rebecca,melesse,48,matina street,noaddresstwo,clovelly,3121,nsw,5019390
4539,Male,65,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Other-service,<=50K,shenae,mllks,14,daley road,koree,carinx,3199,nsw,2142769
4540,Male,41,White,Widowed,Bachelors,United-States,Private,Exec-managerial,<=50K,nataloa,walsh,48,goldfinch circuit,noaddresstwo,kingsord,3523,nostate,1989484
4541,Female,25,White,Separated,Masters,United-States,Private,Other-service,<=50K,jak,mury,226,andrea plaxe,noaddresstwo,diamond creek,5041,qld,8505522
4542,Male,60,White,Widowed,Assoc-voc,United-States,Private,Adm-clerical,<=50K,mej,dumdp,4,middleton circuit,noaddresstwo,nortn rocks,5159,nostate,1721548
4543,Female,17,White,Never-married,11th,Puerto-Rico,Local-gov,Prof-specialty,<=50K,alison,mclauchlan,13,bunbury street,noaddresstwo,rosebery,2228,vic,9527970
4544,Female,28,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,>50K,emiily,mac gregor,42,kanangra place,noaddresstwo,kellyville,0nan,vic,2372423
4545,Male,31,Other,Never-married,Assoc-acdm,United-States,Private,Craft-repair,<=50K,benjamin,bednarczuk,40,rich street,pioneer estate,sadliers crossing,6353,nsw,5376019
4546,Female,47,White,Never-married,Masters,United-States,Private,Prof-specialty,<=50K,a,sarri,1,elthamepkace,noaddresstwo,numukqh,2223,nostate,6363464
4547,Male,45,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Transport-moving,<=50K,abgbey,tayolor,49,chewings srteet,novotel northbeach,baulkham hills,2066,wa,8785033
4548,Male,51,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K,micaela,hoel,8,renwick street,sec 3,bayswater north,2155,sa,2296460
4549,Male,23,Black,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K,mi,more,71,ellenborough street,karri lodge,hawhtorn,4285,sa,4064756
4550,Female,44,White,Married-civ-spouse,Masters,United-States,Self-emp-not-inc,Exec-managerial,>50K,molie,mcgowan,47,quiros street,silverton park,elizaeth bay,2707,ns,3774671
4551,Male,34,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K,ella,lang,199,casuarina street,noaddresstwo,macdonald park,3936,vic,2150427
4552,Male,19,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K,lachlan,higgins,3,noaddressone,noaddresstwo,slacks nevreek,4660,nsw,8901755
4553,Male,46,White,Married-civ-spouse,HS-grad,United-States,State-gov,Transport-moving,<=50K,caitlin,shields,71,carslake loop,noaddresstwo,auburn,4655,nsw,5196150
4554,Male,30,Asian-Pac-Islander,Married-civ-spouse,Doctorate,China,Private,Prof-specialty,>50K,devan,zwar,132,denison street,noaddresstwo,guildford,5014,vic,7153518
4555,Male,37,White,Married-civ-spouse,10th,Mexico,Private,Farming-fishing,<=50K,alisa,dilon,5,stuart street,noaddresstwo,abrgara,4114,wa,2782701
4556,Male,56,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K,lachlan,lennon,21,seaborn place,noaddresstwo,salisbury downs,3380,vic,4453245
4557,Male,29,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K,larissa,mullins,20,jackie howe crescent,noaddresstwo,wallan,6011,nsw,4589896
4558,Male,46,White,Married-civ-spouse,Masters,United-States,Self-emp-not-inc,Craft-repair,>50K,roisin,caor,20,kinalunmqolace,noaddresstwo,mount gdgkbier,2037,vic,1189440
4559,Male,55,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,emma,batf s,71,whala pxace,noaddresstwo,heights centenarn,3021,wa,8467723
4560,Male,45,White,Divorced,Bachelors,United-States,Private,Sales,>50K,antioujs,barron,39,macgreg or street,noaddresstwo,keppel sands,7320,nsw,9036174
4561,Male,34,White,Married-spouse-absent,HS-grad,Guatemala,Private,Handlers-cleaners,<=50K,kyle,nunn,0,noaddressone,killdrummie cottage,bundaberg,2194,tas,4227856
4562,Male,41,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K,mya,stacey,134,ivo whitton circuit,coogee beach resort,wentworthville,4170,qld,4083076
4563,Male,34,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K,nogivvenname,davis,16,ainslie avenue,noaddrsstwo,carbrok,3915,nsw,2757343
4564,Male,27,Black,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K,jesse,nosurname,216,waterfield place,noaddresstwo,rose bay,2444,vic,3355763
4565,Male,29,Black,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K,kylee,scabitssi,7,barrallier street,noaddresstwo,tweeedlb head,3104,nostate,2872694
4566,Female,19,White,Never-married,12th,United-States,Federal-gov,Other-service,<=50K,benajmin,lonardo,18,menzie place,garden viw,gladesville,4132,wa,1959886
4567,Male,47,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,<=50K,anthony,barron,39,macgregor street,noaddresstwo,keppel sands,7320,nsw,9036574
4568,Male,43,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,>50K,tarna,johnson,2,noaddressone,noaeddresstwo,uladulla,2284,vic,9369311
4569,Female,52,Black,Separated,Assoc-voc,United-States,Private,Exec-managerial,<=50K,jemma,nosurname,25,a'beckett street,noaddresstwo,raymond terrace,4122,tas,7211040
4570,Male,33,White,Divorced,Assoc-acdm,United-States,Self-emp-not-inc,Sales,<=50K,kane,bussenshcutt,5,noaddressone,noaddresstwo,hurstville south,5096,nsw,4901197
4571,Male,29,White,Married-civ-spouse,9th,United-States,Private,Transport-moving,<=50K,mitchell,rogers,78,heard street,noaddresstwo,kewdale,4551,nsw,2099879
4572,Male,23,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K,talia,green,49,wheeler crescent,noaddresstwo,newnham,3205,vic,5413225
4573,Male,23,White,Never-married,Some-college,United-States,Private,Exec-managerial,<=50K,ssanel,o'neill,185,hansen circuit,noaddresstwo,sevne ills,5112,v,9757092
4574,Male,39,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K,alana,dakin,2,lambrigg street,noaddresstwo,moonah west,4037,sa,1348290
4575,Female,43,White,Never-married,5th-6th,Mexico,Private,Machine-op-inspct,<=50K,jaser,grah,1,aitkenkcrcuit,noaddresstwo,belrose,3000,nsw,5281646
4576,Male,31,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K,alexander,nosurname,27,bick place,noaddresstwo,fairfieldhwest,6015,sa,4286751
4577,Male,47,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,>50K,marley,searle,56,truganini place,noaddresstwo,willaston,4017,vic,7515385
4578,Male,26,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K,jesaiac,qualtrough,47,daglishsurreet,noaddresstwo,neutralpbay,3401,vic,4513573
4579,Female,58,White,Never-married,Some-college,United-States,Local-gov,Prof-specialty,<=50K,mikahal,raamlts,654,rivett sreet,noaddresstwo,loganlbea,2902,nostate,3222010
4580,Male,47,White,Divorced,Prof-school,United-States,Self-emp-inc,Prof-specialty,>50K,elysse,van den berg,0,frew close,mull cottage,frederickton,4306,nsw,1849687
4581,Female,55,White,Never-married,Bachelors,United-States,Private,Tech-support,<=50K,alannah,fontanelli,214,lexcen avenue,noaddresstwo,crescent head,2121,qld,2286049
4582,Female,26,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K,nogivenname,cooper,39,stteet liwanna,noaddresstwo,parabklls,4857,qld,6489544
4583,Female,28,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K,maiy,o'nelil,131,jardine street,buderim medical & dental centre (cnr box,cammrry,6063,nsw,8689356
4584,Male,36,Black,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,bertie,palnok,8,couchman crescent,highbury rmb 1630,research,2154,vic,6666605
4585,Male,40,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K,silas,wilding,50,farrer street,blue pines,berwick,4119,qld,9237639
4586,Male,19,White,Never-married,11th,United-States,Private,Other-service,<=50K,xavier,leech,7,gardiner street,green gums,mount gravatt east,3699,qld,1192533
4587,Male,63,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Sales,>50K,ayl,blackwod,240,chpperfield circuit,noaddresstwo,beenleigh,6056,nsw,3871461
4588,Male,42,White,Married-civ-spouse,Bachelors,United-States,Private,Transport-moving,<=50K,caleb,urquhart,0,middleton circuit,noaddresstwo,deer park,2147,nostate,3359802
4589,Male,76,White,Married-civ-spouse,9th,United-States,Private,Protective-serv,<=50K,lik,chapman,76,noaddressne,noaddresstow,eastwoood,2142,qld,7369170
4590,Female,23,White,Never-married,Assoc-voc,United-States,State-gov,Tech-support,<=50K,nogivenname,gredvqn,6,ayers street,noaddresstwo,oakleigh,0835,vif,6071016
4591,Male,38,White,Never-married,5th-6th,United-States,Self-emp-not-inc,Transport-moving,<=50K,sienna,blayney,73,hurley street,noaddresstwo,cremorne,2099,nsw,5330440
4592,Male,33,Asian-Pac-Islander,Never-married,Masters,Japan,State-gov,Prof-specialty,<=50K,faith,du bois,1,ellwood crescent,wattle vale,frankston,2450,qld,5138856
4593,Male,48,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K,jack,fowlbds,42,yanda street,bungalong,woolooirare,3074,qld,2368535
4594,Male,56,White,Divorced,Some-college,United-States,Private,Transport-moving,>50K,kyah,sponn,1,dunnp lce,noaddresstwo,minyamau,0nan,qld,8766139
4595,Male,32,Black,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K,nichokas,rositano,6,clarac lose,noaddresstwo,parafield gardens,4670,qls,7620735
4596,Female,44,White,Divorced,Some-college,United-States,Local-gov,Prof-specialty,<=50K,alanajh,fontamwlli,283,lexcen avenue,noaddresstwo,head crescent,2112,qld,2285049
4597,Female,27,Black,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K,belinda,bamford,68,hawdon street,noaddresstwo,alice springs,4034,sa,3738297
4598,Male,33,White,Never-married,Some-college,United-States,Federal-gov,Exec-managerial,<=50K,kaleb,haycock,7,clark close,raafa estate,emu rudge,5108,vec,3644195
4599,Male,22,White,Never-married,5th-6th,Mexico,Private,Handlers-cleaners,<=50K,tara,richdrs,348,galway place,the white house,urangan,5214,nostate,1867126
4600,Male,44,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,dlilon,staley,61,kinchela jwescent,noaddrsstwo,kununurra,4860,wa,2889254
4601,Male,42,Amer-Indian-Eskimo,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K,cobe,llun,38,sternberg crescent,mill park,emerald,6155,nsw,3264390
4602,Female,34,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K,nogivenname,nosurname,222,len waters street,newman ccllege,laudeale,2137,qld,3363039
4603,Male,45,White,Married-civ-spouse,HS-grad,United-States,Federal-gov,Adm-clerical,<=50K,michael,gent,6,cuscaden crescent,noaddresstwo,mosman,3154,nsw,1364001
4604,Male,57,White,Married-civ-spouse,HS-grad,Cuba,Self-emp-inc,Sales,<=50K,jaocb,carbone,10,finenrty place,noaddresstwo,connolly,5052,fvic,4028353
4605,Male,59,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,>50K,okiva,knowling,8,duffy xteet,villa 130 henry kendall bayside,budeim,7307,nsw,9429597
4606,Female,33,Black,Married-civ-spouse,Some-college,United-States,Federal-gov,Exec-managerial,>50K,jayden,howell,33,lindsy street,argyle sq 1,ysdenham,0820,lqd,8013858
4607,Male,52,Other,Married-civ-spouse,HS-grad,Mexico,Private,Farming-fishing,<=50K,benjuin,brofrtt,42,hawker street,noaddresstwo,knowsley,4152,nostate,8295581
4608,Female,17,White,Never-married,12th,United-States,Private,Sales,<=50K,kirra,senkevitch,97,moruya circuit,benooka,murgon,4179,nostate,6190490
4609,Male,29,White,Never-married,HS-grad,Canada,Private,Other-service,<=50K,joel,aibara,2,forbes street,noaddresstwo,orange,2602,nsw,5276105
4610,Male,63,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Sales,>50K,desynii,sara,310,constitutin avenue,noaddresstwo,wurtulla,4020,ss,3279395
4611,Male,20,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K,neme,durcini uski,0,forwood street,tuggeranong sq (cznr reed s street,malevrn,2650,ns,2374990
4612,Male,42,White,Married-civ-spouse,Prof-school,United-States,Self-emp-inc,Prof-specialty,>50K,chralie,wehrmann,52,eldridge street,noaddressstwo,egadine,2298,vic,4806685
4613,Male,50,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K,blizzard,darcie,466,tauss ikace,noaddresstwo,proserpine,4470,nsw,7373507
4614,Female,55,White,Married-civ-spouse,HS-grad,United-States,Private,Priv-house-serv,<=50K,louise,toon,169,monaro highway,noaddresstwo,bexley,4551,qld,9458963
4615,Female,27,Black,Married-civ-spouse,Assoc-acdm,United-States,Private,Adm-clerical,<=50K,megan,white,4,gurney place,noaddresstwo,rosedale,5048,nsw,4239747
4616,Male,28,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K,nichllas,prestwood,11,schonell circuit,noaddresstwo,mirandra,2749,vkc,9707224
4617,Male,55,White,Married-civ-spouse,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K,fitzgerald,frase,28,noaddressone,homefield home,st kila east,6056,nsq,9475941
4618,Male,44,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Craft-repair,<=50K,julia,sinclair,73,blacket street,sheep station,kensington,6008,wa,9265532
4619,Female,53,White,Never-married,Some-college,United-States,State-gov,Protective-serv,<=50K,tahlia,barwoxpcik,7,bingle street,noaddresstwo,canterbury,3131,vic,6289018
4620,Male,23,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,cononr,mileor,21,noaddressone,noaddresstwo,chirnside park,2259,nws,3305647
4621,Female,25,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K,grace,blackwell,1,msson street,nodadresstwo,windale,4020,qlde,4911260
4622,Female,44,White,Divorced,Bachelors,United-States,State-gov,Prof-specialty,<=50K,brooke,hemmingway,5,fenwick place,woodlands,mordialloc,4356,tas,3040658
4623,Male,55,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K,amber,rendle-short,12,numeralla street,mac quarie vale,sans souci,3183,nsw,5548445
4624,Male,48,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Prof-specialty,>50K,jett,duffy,22,cobar place,leighlands,oak park,5073,qld,2808470
4625,Male,46,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,oligia,goode,2,callister prescent,noaddresstwo,glen iris,6008,qle,7317553
4626,Male,26,White,Never-married,Some-college,United-States,Private,Transport-moving,<=50K,asah,woodward,360,crranderk street,noaddresstwo,ivnhoe,2160,vic,6446200
4627,Male,30,White,Separated,7th-8th,Mexico,Private,Farming-fishing,<=50K,larissa,mcdonald,17,kavel street,corack east,woronora,2325,nsw,6976506
4628,Male,32,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,>50K,isabella,crxnm,1,giltinaynpkace,noaddresstwo,port macuarie,4207,vic,5928734
4629,Male,52,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K,benjamin,cooper,18,cosgrove street,noaddresstwo,girraween,6155,vic,7169364
4630,Male,52,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,>50K,brooke,laverty,176,wisdom street,woodfield,wingham,2303,qld,7824050
4631,Female,39,White,Separated,HS-grad,United-States,Private,Sales,<=50K,emiily,dixon,189,grigg poace,noaddresstwo,warnbro,4121,sac,4650777
4632,Male,57,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,>50K,alex,peers,39,fitzhardinge crescent,noaddresstwo,surry hills,6281,act,7636238
4633,Male,21,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K,james,mulholland,5,clive steele avenue,glen elgin angus stud,enfield,5046,nsw,2204891
4634,Male,22,White,Never-married,Some-college,United-States,State-gov,Other-service,<=50K,bailey,donaldson,18,cossington smith crescent,sec 151,wagga wagga,6152,qld,9352008
4635,Male,26,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,<=50K,nicholas,slater,10,boucaut place,noaddresstwo,kiama,2430,nsw,3612777
4636,Male,26,White,Married-civ-spouse,Some-college,United-States,State-gov,Other-service,<=50K,cakb,urquhatt,0,circuitmmoddleton,noaddresstwo,deerpark,2147,nostate,3359022
4637,Male,44,Black,Married-civ-spouse,Assoc-voc,United-States,Private,Exec-managerial,>50K,eliza,berry,1,burrundullav garden,noaddresstwo,aspltey,2145,qld,5853226
4638,Female,42,White,Divorced,Some-college,United-States,Private,Adm-clerical,<=50K,nogivenname,o'nrrl,88,noaddressone,noaddresstwo,bellara,2250,nsw,1216270
4639,Male,40,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,<=50K,jack,mury,56,wantplace,noaddresstwo,diamonydcreek,5041,qld,8505819
4640,Male,22,White,Never-married,11th,United-States,Private,Craft-repair,<=50K,ethan,yala,11,ivo whitton circuit,noaddresstwo,ulversote,5109,nsw,2215821
4641,Male,62,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K,benjamin,schiele,36,may street,noaddresstwo,ashfield,5608,wa,7885408
4642,Male,44,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K,ruby,mutton,38,lawrence crescent,west big springs,taroona,2192,nsw,7859980
4643,Male,33,White,Married-spouse-absent,1st-4th,Mexico,Self-emp-not-inc,Craft-repair,<=50K,konstantinos,hay,95,noala street,noaddresstwo,mount pritchard,2680,nsw,3070513
4644,Male,45,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K,zarlka,trepka,834,burdett crescent,noaddresstwo,qikpke,3214,qld,9578846
4645,Male,18,White,Married-civ-spouse,11th,United-States,Private,Handlers-cleaners,<=50K,benjamin,deull,5,tenison-woods circit,noaddresjstwo,lightning ridge,4053,qld,8591281
4646,Male,32,White,Never-married,Some-college,United-States,Local-gov,Craft-repair,<=50K,jake,shannon,0,jackie howe crescent,noaddresstwo,yangebup,2564,nsw,9530557
4647,Female,33,White,Never-married,Doctorate,United-States,Private,Prof-specialty,>50K,thomas,sutton,2,scobie place,noaddresstwo,bassendean,2040,nsw,9325951
4648,Male,20,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K,gabriella,williams,333,street cutbush,noaddresstwo,brighton,2508,vic,2760198
4649,Male,68,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K,dagel,pllu,66,crozier cicuit,hill pa dua,coolbellup,2229,nsw,1813186
4650,Male,61,White,Married-civ-spouse,7th-8th,United-States,Private,Sales,>50K,mikayla,clark,3,allman circuit,caringa,smithfield plains,4680,qld,1239806
4651,Male,48,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K,amelke,henddeison,22,charlton crescent,noaddrestswo,mount pleasant,2463,qtld,4396270
4652,Male,45,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K,aidan,kirkham,33,partridge street,noaddresstwo,thornlie,3220,wa,3609403
4653,Female,36,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,>50K,magnus,cleaver,30,kevin street,noaddresstwo,sunbury,6105,qld,9304008
4654,Female,32,Black,Never-married,HS-grad,United-States,Federal-gov,Other-service,<=50K,emiily,mutch,150,macfarlanxrescent,noaddresstwo,hillside,3127,nostate,8330017
4655,Female,35,White,Divorced,Bachelors,United-States,Private,Other-service,<=50K,logan,sillett,9,mainwaring rich circuit,neoaddresstwo,balatta,2065,nosatte,7667675
4656,Male,39,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,aloys ius,atkiwsin,0,macadambstleet,point vernon holiday park,kangarpo flat,5037,qld,4000049
4657,Male,53,White,Married-civ-spouse,7th-8th,United-States,Private,Machine-op-inspct,<=50K,joel,moore,14,downs place,noaddresestwo,semaphore park,3073,nshw,5373699
4658,Female,30,Black,Separated,Some-college,United-States,Private,Sales,<=50K,max,mille,16,wilkins street,noaddresstwo,plympton south,3132,qld,3348499
4659,Male,40,White,Divorced,Bachelors,United-States,Private,Protective-serv,<=50K,abbye,somemrqds,0,kauper qrteet,noaddresstwo,nosuburb,6401,nostate,7615821
4660,Female,25,Black,Never-married,Some-college,Jamaica,Private,Adm-clerical,<=50K,nogivenname,clark,36,notting court,noaddresstwo,bellevue hill,7027,nsw,7677705
4661,Female,41,Black,Never-married,HS-grad,United-States,Private,Sales,<=50K,lily,willkijuams,39,lunn place,noaddresstwo,dulwichbhill,4124,j,6149336
4662,Male,52,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,>50K,lucas,wyness,11,stuart street,nestor,aspley,3630,wa,7980230
